DraftYear,FG%
1990,0.43688461538461537
1991,0.4611818181818182
1992,0.437125
1993,0.42253488372093023
1994,0.4504666666666667
1995,0.4260612244897959
1996,0.4282978723404255
1997,0.4321276595744681
1998,0.44060714285714286
1999,0.41643478260869565
2000,0.42588000000000004
2001,0.423795918367347
2002,0.4428125
2003,0.4316808510638298
2004,0.43232608695652175
2005,0.43621818181818184
2006,0.43140384615384614
2007,0.43887499999999996
2008,0.45429411764705885
2009,0.44122
2010,0.44662
2011,0.43242592592592594
2012,0.42276785714285714
2013,0.43217647058823533
2014,0.43315094339622645
2015,0.4499772727272727
2016,0.4298181818181818
2017,0.4529821428571429
2018,0.4333392857142857
2019,0.43317241379310345
2020,0.4380862068965517
2021,0.4253269230769231
